appId,title,description,genres,primaryGenre,contentRating,size,supportedVersion,released,version,price,developer,score,reviews,store,title length ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.best2048.in2018,2048,"There are a lot of variances of 2048: this one in darkspace colours!

""2048"" is a very old game (that was born by ML-geeks) 

HOW TO PLAY: 
Just swipe Left, Right, Up, Down to move the tiles. When 2 tiles with the same number touch, they amalgamate into one. 
Player who succeeds in collecting 4-8-16-32-64-128-256-512-1024-2048 will win the game but can play later for pleasure.

Finally, after a lot of mindstorms we created this unique version of 2048.
Everyone wants to try 2048 in darkspace colours!
Take a look on our amazing two thousand forty eight and give us your feedback if you want.",Puzzle,GAME,4+,2516582.4,7,28/11/2017,1.0.3,0,Last App,5,2,google store,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.vector.game.puzzle.2248,2248,,"[""Games"",""Education"",""Word"",""Puzzle""]",Games,4+,86793216,6,,2.1,0,G vector,5,1926,App store,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.coolgamearcade.aaaminigolf,`Mini Golf : More Minigolf Fun than the Open,"Mini Golf

Challenge yourself in this great free mini golf game.  See how many hole-in-ones, birdies and pars you can get.  But watch out for bogies and worse.  

This fun exciting casual sports game has lots of golfing fun in it.


No purchases required
","[""Games"",""Sports"",""Adventure"",""Entertainment""]",Games,4+,166469632,9,29/06/2014,1.5,0,"Cool Game Arcade : Fun Action Strategy, Sim and Puzzle Apps",3,20,App store,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.PineEntertainment.Com,1+2=3,"Are You Smarter Than a 1st Grader?

This is a very simple math game which all the questions & answers are combined by 1, 2, 3, plus & minus. BUT IT WILL BE THE MOST CHALLENGING GAME TO YOUR BRAIN EVER!

How To Play!?

- Let's teach Lucky some basic maths.","[""Games"",""Family"",""Trivia""]",Games,4+,21727232,5,14/01/2015,9.13.0,0,Topebox Co. Ltd.,4,2860,App store,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.masukachi.wife2,10 Billion Wives,"All you can marry!
A game to get married to as many girls as you like!
Marry 10 billion wives!

-Common Questions
Q. Why is the background LPS the way it is?
A. This is in order to keep the game balanced. After the app is closed, wives will continue to in","[""Games"",""Simulation"",""Entertainment"",""Arcade""]",Games,9+,68551680,6,30/05/2015,1.3.5,0,"MASUKACHI, K.K.",5,14900,App store,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us.digitalsmoke.10pinshufflefree,10 Pin Shuffle Bowling,,"[""Games"",""Arcade"",""Entertainment"",""Sports""]",Games,4+,50394112,4,05/12/2009,2.2,0,Digital Smoke LLC,3.5,20870,App store,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us.digitalsmoke.10pinshuffle,10 Pin Shuffle Pro Bowling,,"[""Games"",""Sports"",""Arcade"",""Entertainment""]",Games,4+,38693888,4,25/05/2009,2.2,3.99,Digital Smoke LLC,4,7662,App store,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.tobiapps.android_100fl,100 Floors - Can you escape?,"100 Floors Updated! Come continue the fun with us.

A big thanks to all the users who have stuck with us! We have included a little surprise for those who can beat the game! Enjoy!

Are you the key master? The key master has given you a Master Key! Use it to unlock the doors and pass any level, but remember you only have one!

Challenge yourself and see if you can make it to the TOP! Can you escape? 

Advance to the next floor by solving the puzzle! Escape the room!

100 levels of puzzles are waiting to be solved! 100 Rooms, 100 Doors, 100 Floors!

Features:
-Addicting mini puzzles and brainteasers!
-Complete utilization of your Android phone features!
-Gorgeous graphics and different themed floors, doors, and rooms!
-Constant updates of New Floors, New Doors, New Rooms!
-It's 100% FREE!

Make sure to contact us if you have good ideas for new Floors, Doors, and Rooms! :)

How to Play:
- Unlock the door to get to the next level.
- To do that, pinch, poke, shake, tilt, swipe the on-screen images, to find a way to solve the puzzles.
- You can pick certain items up and use them from your inventory.
- Floor 1: tap the green elevator button to open the door. Tap the green arrow behind the door to go to the next floor.
- Floor 2: swipe the trashcan to move it aside and tap the green arrow button behind it. Tap the button in your inventory and tap the grayed out arrow above the red arrow. Tap the green button once it is placed to open the door.
- Floor 4: What is the opposite motion of pinching?

Enjoy the rest of the game!

The ultimate room escape, can you escape the room puzzle game!",Casual,GAME,4+,63963136,7,18/05/2012,4.2.1.0,0,Tobi Apps,4,94323,google store,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.100-pics.100-pics,100 PICS Quiz - Picture Trivia,,"[""Games"",""Puzzle"",""Entertainment"",""Trivia""]",Games,4+,91265024,4,03/07/2013,2.7,0,Poptacular Ltd,4.5,38440,App store,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.100puzzle.game,100! Block Puzzle,"Fully enjoyed by more than 2,000,000 users worldwide <3 Thank you for choosing the best block puzzle on store!

100! BLOCK PUZZLE is designed to be your personal entertainer, to uncomplicate your life and make you more effective. It is helpful in keeping ","[""Games"",""Puzzle"",""Board"",""Entertainment""]",Games,4+,37987328,5,18/03/2015,2.4.3,0,SILVER LINING COMPANY LIMITED,4.5,22788,App store,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
