appId,title,description,genres,primaryGenre,contentRating,size,supportedVersion,released,version,price,developer,score,reviews,store,title length 
com.pitashi.readradio.sobermeditations,12 Step Meditation Daily Reflections AA NA Al-Anon,"Sober Meditations for 12 Step Recovery and Spirituality
-------------------
Listen to hundreds of hand selected and high quality guided meditations, music, prayers and 12 step audio recovery content. Plus mix and layer over 100 looping meditation sound effects and relaxing melodies. Built in timer makes it easy to build a daily practice.

100% Satisfaction Guarantee - contact us with any issues and we'll resolve them or refund your money.

--------------------

NOTE: You get 20 amazing guided meditations and much more 12 step audio content for free. Unlock and download hundreds more hours of amazing AA, NA, CA, OA and Al-Anon content from within the app!

* 100+ Sober Guided Meditations
* 100+ Guided Meditations
* 8 Beginner Mediations
* 20 Hours of Meditation Music, Soundscapes and Zen Backgrounds
* 20 Hours of Nature Sounds Meditations (ocean waves, wind, rain, thunder, etc.)
* 10 Hours of Binaural Beats Brain and Sleep Meditation Waves
* 10 Hours of Meditation Chimes, Chants and Bells
* 39 Powerful Hypnosis Audio Programs for Life, Happiness, Love & Success
* Step by Step How to Meditation Audio Instructions
* How to Relieve Stress Audio Guidebook
* Hundreds of Curated Meditations and Spiritual Readings
* AA, NA, CA, Al-Anon Speaker Tapes
* How to Live Sober
* 12 Steps and 12 Traditions
* Sober Prayers and Daily Reflections
* Step by Step How to Meditation Audio Instructions
* How to Relieve Stress Audio Guidebook
* Hundreds of Curated Meditations and Spiritual Readings
* 12 Step Workshops
* Personal Stories of Recovery

And much more... over 100 hours of recovery audio content!

--------

Yet another great tool to aid in your sobriety or for anyone who wants to learn more about the Alcoholics Anonymous, Narcotics Anonymous, Al-Anon, Cocaine Anonymous and more recovery programs and membership.

--------

We offer auto-renewing subscriptions as well a one-time unlock fee via in-app purchase. Details about our subscriptions for Audiojoy content are:

* 1 Month (auto renews every month) for $3.99
* 3 Month (auto renews every 3 months) for $6.99
* Payment will be charged to iTunes Account at confirmation of purchase
* Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period
* No cancellation of the current subscription is allowed during active subscription period
* Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication. 

Please read our privacy policy and terms of use: http://audiojoy.co/terms","[""Lifestyle"",""Reference""]",Lifestyle,12+,31034368,5,21/08/2015,3.6.1,0,Pitashi! Mobile Imagination.,5,2195,app store,50
me.deanhuff.companion,12 Steps AA Companion,"The ORIGINAL sobriety tool available for members of Alcoholics Anonymous. Every member of AA will find this app very useful yet quite simple to use.

 
鈥 Built for both Phones and Tablets
鈥 Completely rebuilt with great, new features, functionality and layout improvements. 
鈥 Beautiful new icon and app design. 
鈥 Available for Phones and Tablets!
鈥 Collapsible index categories. 
鈥 Notes with sharing 
鈥 More Big Book text and categories. 
鈥 Edit and add your own recovery contacts. 
鈥 Contact Support for help via email from contacts. 
鈥 Built in routing to find contact addresses and quick access to Maps app for specific directions. 
鈥 Improved sobriety length calculations. 
------------------------------------- 

鈥 ANONYMOUS ICON
- To protect anonymity, the actual app icon does not show references to AA

鈥 SOBRIETY CALCULATOR
- View your length of sobriety
- Calculate the length of sobriety of all your friends

鈥 THE BIG BOOK
- Search tool
- Read the main 164 pages & more
- Read 60+ stories from 1st & 2nd editions
- Original forewords
- Portrait or Landscape layout for reading
- Page numbers for the main 164 pages

鈥 PRAYERS
- Morning prayer for ""on awakening""
- Night prayer for ""when we retire at night""
- Prayers from the steps
- Prayer of St. Francis
- The Big Book's suggestions on prayer

鈥 PROMISES
- Extensive gathering of promises throughout the Big Book.
- Promises on Experience, Strength and Hope
- Promises from the steps and more!

鈥 CONTACTS
- Reach out to US central offices, areas, districts and answering services.
- Map the route to a contact with an address using the device's GPS. 
- Tap contact buttons to immediately call, e-mail or visit their website.

鈥 OPTION TO MOVE APP TO SD CARD

鈥 NO INTERNET CONNECTION NEEDED

-------------------------------------

Thank you everyone that has downloaded this app! I am grateful for your support! I hope you enjoy this app as a tool in your recovery and others.

If you have any comments or concerns please visit www.deanhuff.com

-------------------------------------
COPYRIGHT INFO:

- Only stories from the 1st and 2nd editions could be included.

- The 12 Steps Companion can only be available to US customers.

-------------------------------------
*Big Book and Alcoholics Anonymous are registered trademarks of AA World Services.

*Please always support AA by purchasing a printed copy from your local central office",,LIFESTYLE,12+,11534336,7,,3.2.5,1.99,Dean Huff,4.5,542,google store,21
com.nhacvang.nhacvang320,320 Kb - Nh岷c v脿ng,"320 Kb - Nh岷c v脿ng - Nh岷c s岷縩 - Nh岷c Bolero - Nh岷c tr峄 t矛nh - Nh岷c Tr峄媙h C么ng S啤n ...

峄╪g d峄ng nghe nh岷c mi峄卬 ph铆 v峄沬 nhi峄乽 t铆nh n膬ng n峄昳 b岷璽 gi煤p b岷n c贸 nh峄痭g tr岷i nghi峄噈 芒m nh岷c tuy峄噒 v峄漣 tr锚n iPhone, iPad.

Kh么ng ch峄 l脿 kho nh岷c tr峄眂 tuy岷縩 ch岷t l瓢峄ng cao ( 320 Kb) , 峄﹏g d峄ng n脿y c貌n l脿 m峄檛 tuy峄僴 t岷璸 c谩c ca kh煤c quen thu峄檆 膽茫 膽i v脿o l貌ng ng瓢峄漣 -膽瓢峄c s岷痯 x岷縫 theo t锚n c峄a t峄玭g ngh峄 s末 n峄昳 ti岷縩g c峄a d貌ng nh岷c v脿ng tr峄 t矛nh nh瓢: Duy Kh谩nh,  Quang L锚, Phi Nhung, L峄 Quy锚n, M岷nh Qu峄硁h鈥

B岷n c贸 th峄 nghe tr峄眂 tuy岷縩  c谩c b脿i h谩t y锚u th铆ch c峄a m矛nh m峄峣 l煤c m峄峣 n啤i.
V峄沬 峄﹏g d峄ng Nh岷c v脿ng 320 ch岷痗 ch岷痭 b岷n s岷 c贸 nh峄痭g tr岷i nghi峄噈 kh贸 qu锚n khi 膽瓢峄c s峄憂g l岷i trong 鈥渒hung tr峄漣 hoa m峄檔g鈥 c峄a nh峄痭g b岷n t矛nh ca x瓢a.

峄╪g d峄ng cho ph茅p b岷n thi岷縯 l岷璸 th峄漣 gian sau bao l芒u th矛 app s岷 t峄 膽峄檔g t岷痶 nh岷c nh茅 (Trong danh s谩ch b脿i h谩t, b岷n click v脿o icon setting g贸c tr锚n b锚n ph岷i 膽峄 thi岷縯 l岷璸 th峄漣 gian)","[""Lifestyle"",""Music""]",Lifestyle,4+,23657472,6,26/01/2016,1.1.4,0,Loc Vu,4,15,app store,18
com.diy.smartidea,4000 DIY ideas,"3000 DIY ideas
Find Best and save a handful of useful ideas with our DIY app ( do it yourself ), We have all the diy ideas to make things original and unique almost out of nothing. so, recycle, create and save money using our DYI ideas.
Not only you'll be surprised by our great diy ideas but also the detailed instruction to build things from scratch with our new , improved DIY app.
It's a real joy to your whole family members , for we offer ideas that suit every member . eventually , it'll turn out to be a fun group activity !


So hurry now and upload DIY app and do it yourself



Features:
diy costume
Terrific Diy Birthday Gift Ideas Diy Tips
diy Christmas
diy shorts ideas crafts
diy room
diy home
diy shorts from jeans
diy shorts from scratch
diy cotton shorts
diy shorts pattern
Photos of DIY Gifts For Toddler Boy
diy shorts from fabric
Pumpkin Pies and Valentine Box
diy summer shorts
diy shorts tumblr
easy diy ideas for teenagers
diy shorts pinterest
ARTS AND CRAFTS DIY
LIFEHACKS DIY
HOME DECOR DIY
Nifty DIY Crafts
craft ideas to sell
diy paper crafts
diy craft ideas for home decor
craft ideas for adults
simple craft ideas
diy sewing crafts
easy diy projects to sell
easy diys for kids
easy diy projects for bedroom
easy diy projects for home
easy diy crafts
easy diys for your room
easy diy wood projects
easy diy projects with household items
diy wood crafts
diy crafts for home
FOOD DIY
diy ideas for bedrooms
diy ideas for the home
diy craft ideas
diy meaning
diy projects
diy crafts
diy pinterest
pinterest diy crafts
FASHION DIY
GARDENING DIY
BEAUTY AND HEALTH DIY
diy school
diy gifts and crafts 
Pick one of seven categories - arts & crafts, food, gardening & outdoor, fashion, lifehacks, home decor, health & beauty
Notifications about newly added images

Great app feature is that you can easily share diy projects you love most with your friends via Google+, Facebook, Viber and many more.",,LIFESTYLE,4+,7864320,7,08/01/2017,7.7.1,0,Smart Apps Inc.,4,934,google store,14
com.sei.android,"7-Eleven, Inc.","Put savings in your pocket with this convenient app from 7-Eleven that rewards you for buying the food and drinks you already love. Earn points on almost everything!

THE NEW AND IMPROVED 7REWARDS鈩
Big news! Now you can earn 7Rewards鈩 points on most purchases. Redeem your points for more awesome 7-eleven food and drinks. Plus, buy 6 cups and get the 7th FREE! That goes for any cup, any size, your way, every day.
Start earning 7Rewards today with three easy steps:
路      Download the 7-Eleven app to join.
路      Scan your app barcode at every checkout.
路      Earn 7Rewards鈩 points
路      Any 7th cup is FREE!

COUPONS
Your member barcode earns you free drinks and so much more. Scan it at checkout to redeem exclusive offers on 7-Eleven and partner products.

STORE LOCATOR
7-Eleven is always on your way. Find the store closest to your route or anywhere in the country, heart your favorites and find out which locations provide services like hot food, Redbox庐, gas and propane tanks.

GIVE FEEDBACK
We鈥檙e here to make your day better. Please let us know if you think we鈥檙e doing a good job or not. Submit feedback in the form of a question, complaint or compliment at any time in the app.

GET REWARDED
Earn 7Rewards鈩 points for every dollar you spend* and score exclusive bonus offers to help you get rewards like free food and drinks even faster. Best of all, you still get every 7th cup FREE.

PERMISSIONS EXPLAINED
路 Camera: Allows you to take photos and use features that require scanning, such as adding a 7Rewards card.
路 Location: Lets you find nearby stores and enables unique in-store offers.
路 WiFi: Used to check the quality of available WiFi connections.

SCAN & PAY 鈥 NOW AVAILABLE AT SELECT STORES IN DALLAS/FT WORTH AREA!!!
Take full control of your shopping experience. Skip the line every time!
How it works:
1.	Download the 7-Eleven app and find Scan & Pay on your app home screen
2.	Scan the items as you shop, while enjoying all 7Rewards benefits and in-store promotions
3.	Review your cart and pay using your preferred payment method (debit card, credit card, Google Pay)
4.	Confirm your purchase by scanning your QR code at the scanner near the entrance

*Points exclude services, fuel and age restricted items including tobacco, lottery and alcohol.",,LIFESTYLE,4+,80740352,5,20/01/2013,3.2.6,0,"7-Eleven, Inc.",4.5,40059,google store,14
manofham.alovecalcue,A Love Calc: Ultimate Edition,"A Love Calc: Ultimate Edition is the cute love calculator with a large range of features including: 

- Find out the compatibility % of a couple or potential couple
- Read the report on the couple's compatibility
- Store your best and worst love matches
- Secret button allows you to get 100% with your crush or 1% with anybody you're not interested in!
- Email the result and report to your friends

Please note that this app is for entertainment purposes only!

Enter two names and A Love Calc will analyze the numerology of the letters held within the names to give you the pair's compatibility percentage as well as a report on the couple's compatibility.

After you get the result you can email it to your friends!","[""Lifestyle"",""Games""]",Lifestyle,4+,2092032,5,08/01/2010,4,1.99,Shaved Labs Ltd,3.5,144,app store,29
com.lukepistrol.A-Year-In-Pixels,A Year In Pixels,"A YEAR IN PIXELS

Map your year with colorful pixels based on how you're feeling

Simply open the App once a day and select between 10 different moods, describing how you're feeling on that specific day. And now you can even change the mood鈥檚 names and colors to your needs!

In the overview tab you can quickly see how your year was yet. And at the end of the year you can save the whole overview as a picture to your camera roll, send it to your friends, or share it to social media.

You can also add some text to your daily pixel and view all entries in a diary.

Set a daily reminder so you never forget to set your daily pixel.

Change the pixel and font style to make it more individual.

All your data is securely synced across all your devices using iCloud. It happens automatically in the background.

This App features Auto-renewable Subscriptions to get access to Premium Features like:
鈥 iCloud Sync
鈥 Removed Ads
鈥 Custom Moods
鈥 High Quality Image Export
鈥 Diary Function

Auto Renewable Subscriptions:
鈥 Premium Features (1 Year or Monthly Payment) 
鈥 Premium Features + iCloud Sync (1 Year or Monthly Payment)

Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.

Privacy Policy & Terms Of Use: https://lukaspistrol.com/privacy-policy/","[""Lifestyle"",""Productivity""]",Lifestyle,4+,34676736,3,15/02/2017,1.2.1,0,Lukas Pistrol,4,152,app store,16
com.ibyteapps.aaspeakerssandyb,AA - Sandy B,"A collection of 26 speaker tapes from Sandy B, who was one of the most celebrated AA members in the United States, known for his humble attitude and an awesome recovery. 

Sandy died just short of his 50th AA birthday, but he inspired many AAs and remains an inspirational figure in the fellowship. 

This is an ad supported app. You can remove all adverts for life by making any purchase in the in-app store. 

AA 12 Step Toolkit

This is the only recovery app based on the big book alcoholics anonymous that you will ever need to maintain your daily reprieve. It is a perfect companion app for your 12 step program.

* App features a sobriety calculator which keeps a track of number of days you are sober for. Just set your sobriety date in the counter and it will automatically calculate the length of your sobriety. 

* Includes a AA Big Book first 164 pages and Dr Bob's Nightmare.

In short, if you are a recovering alcoholic and need a 12 step companion you can carry in your pocket, especially if you don't have a sponsor yet, this tool will go a long way in recovery. 

We have also added some more literature which can be useful in conducting an AA meeting or just as helpful when read in solitude. 

Prayers included:

- Serenity Prayer
- Third Step Prayer
- Seventh Step Prayer
- Eleventh Step Prayer
- The Lord's Prayer

Readings included:

- How it works
- 12 Traditions
- The Promises
- Just For Today


This App is not affiliated to, endorsed by or sponsored by any 12 step fellowship,Alcoholics Anonymous or A.A.W.S.

For any suggestions or problems, please email us directly on ibyteapps@gmail.com","[""Lifestyle"",""Health & Fitness""]",Lifestyle,12+,315334656,6,25/01/2016,1.03,0,Tushar Bhagat,4.5,39,app store,12
com.aaa.iphone.discounts,AAA Mobile,"AAA Mobile improves on-the-go access to trusted AAA services including trip planning, discounts and roadside assistance. The mobile version of AAA鈥檚 TripTik庐 Travel Planner helps you find AAA Approved and Diamond Rated hotels, restaurants and attractions, and the ability to create and share itineraries between your desktop and mobile devices.

KEY FEATURES INCLUDE:

Maps & Discounts
鈥 Find more than 59,000 AAA Approved and Diamond Rated hotels and restaurants 
鈥 Book your next hotel or rental car
鈥 Receive member discount offers at over 164,000 locations
鈥 Share saved trips across desktop and mobile devices*
鈥 Find AAA Approved Auto Repair facilities, AAA office locations, and cheapest gas prices near you

Roadside Assistance*
鈥 Request Roadside Assistance from the app
鈥 Get instant battery replacement quotes (not available in all areas)

Passbook* (iPhone only, iOS 6 or higher)
鈥 Add a scannable AAA membership card to your Passbook

*You must be a current AAA member to use these features. 

Not a member? You can still use our unparalleled trip planner functions. To take full advantage of all the features of this app, Join AAA.

NOTE: Continued use of GPS running in the background can dramatically decrease battery life.","[""Lifestyle"",""Travel""]",Lifestyle,4+,191374336,3,21/04/2009,4.0.12,0,American Automobile Association,3,26223,app store,10
org.aarp.AARPNewsApp,AARP Now,"Start using your digital membership card from day one by downloading AARP Now. As a member, you can access your digital card anytime from the My AARP tab and join/renew with a tap. The app also gives you access to daily news stories, local events and nearby member benefits. Make the most of your membership by downloading AARP Now today!

Digital Card/Membership
Get immediate access to your digital membership card, join AARP or renew in seconds. Plus, manage your account, wherever you are.

NEWS
Catch up on the latest news in just a few minutes; the AARP Now App features daily stories written with you and your mobile lifestyle in mind.

EVENTS
Explore hundreds of events around you, from career workshops and movie showings to kid-friendly events, and quickly register for them right from your phone.

MEMBER DISCOUNTS 
Search for benefits and discounts in your neighborhood. Offers are added monthly.

NOTIFICATIONS
Set push notification reminders for upcoming events or when deals you鈥檝e saved are nearby. You can easily manage these messages in your settings. 

NOT AN AARP MEMBER?
Not a problem. Non-members can still use the app and get a taste of what AARP has to offer. Plus, the AARP Now App makes joining easy. All it takes is a couple taps.

We鈥檙e always striving to make accessing member benefits quick and easy, but some offerings such as Rewards for Good, games, and job resources are not included in the app just yet. So if you are unable to find those services or others in the app, we encourage you to visit aarp.org on your mobile phone to access them on the go!","[""Lifestyle"",""News""]",Lifestyle,4+,123259904,3,29/09/2010,3.14.0,0,AARP,3,926,app store,8
