title,title count,genres,primaryGenre,contentRating,size,numberOfSupported,released,version,price,score,reviews,store
ទុំទាវSK,20,,EDUCATION,4+,54000000,6,08/08/2018,1,0,5,1,google store
(How to) Pronounce,18,"[""Education"",""Utilities""]",Education,4+,13685760,4,15/10/2013,1.5.1,0,4.5,5441,appStore
(Lite Edition) The monkeys who tried to catch the moon -by Rye Studio™,72,"[""Education""]",Education,4+,51513456,10,29/07/2010,4,0,3,327,appStore
[선착순 55%할인] NEW MD VOCA 33000,39,,EDUCATION,4+,8900000,9,20/02/2014,1.2.2,4.56,3,134,google store
中国大学MOOC（慕课）,28,"[""Education""]",Education,4+,187748352,4,30/05/2015,3.7.0,0,5,803,appStore
伴鱼绘本PalFish Grade Reading,33,"[""Education"",""Books""]",Education,4+,57396224,5,02/03/2017,1.6.19,0,5,606,appStore
1-2-3 Potty with Me!,20,"[""Education""]",Education,4+,144785408,2,28/07/2018,1.0.1,0,2.5,13,appStore
10 Minutes a Day Times Tables,29,,EDUCATION,4+,48000000,9,20/12/2013,1.2,0,4,282,google store
101 HR Interview Questions,26,,EDUCATION,4+,2900000,7,20/05/2012,1.0.20,0,4,898,google store
102nd Intelligence Wing,23,,EDUCATION,4+,43000000,7,01/06/2017,2.5.35,0,5,4,google store
123 Draw Kids to Learn Numbers,30,"[""Education"",""Family"",""Games"",""Puzzle""]",Education,4+,160769024,5,06/06/2017,1.2.3,0,4.5,2349,appStore
123 learning games for kids 2+,30,"[""Education"",""Family"",""Puzzle"",""Games""]",Education,4+,132672512,5,28/07/2018,1.6,0,4.5,2467,appStore
123 Toddler games for 2 3 year,30,"[""Education"",""Games""]",Education,4+,82297856,5,27/07/2017,1.7.1,0,4.5,6826,appStore
123 Toddler games for 2+ years,30,"[""Education"",""Games""]",Education,4+,85426176,7,16/05/2017,1.15,0,4.5,5970,appStore
125th Fighter Wing,18,,EDUCATION,4+,42000000,7,01/06/2017,2.5.35,0,5,2,google store
138th Fighter Wing,18,,EDUCATION,4+,46000000,7,06/06/2017,2.5.35,0,5,1,google store
1級FP過去問解説集,24,,EDUCATION,4+,45000000,7,08/07/2017,1.0.5,0,5,2,google store
1st Grade Math Learning Games,29,"[""Education"",""Games"",""Puzzle"",""Family""]",Education,4+,380087296,4,10/11/2011,5.5.3,0,4,2809,appStore
2017 NC EC Conference,21,,EDUCATION,4+,20000000,7,31/08/2015,2.3.5,0,3.5,3,google store
23rd QM BDE Retention,21,,EDUCATION,4+,3900000,7,17/10/2016,1.2,0,4,1,google store
2nd 3rd Grade Math Games,24,"[""Education"",""Puzzle"",""Games"",""Family""]",Education,4+,23761920,4,21/02/2018,1.0.0,0,2,7,appStore
2nd Grade Math Learning Games,29,"[""Education"",""Games"",""Puzzle"",""Family""]",Education,4+,361239552,4,10/11/2011,5.5.8,0,4.5,2532,appStore
2nd grade math.,15,"[""Education"",""Games""]",Education,4+,11603968,5,11/11/2012,2.2,0,3,53,appStore
3級FP過去問解説集,24,,EDUCATION,4+,36000000,7,08/07/2017,1.0.10,0,4,3,google store
3D Brain,8,"[""Education"",""Medical""]",Education,12+,72869888,7,20/09/2009,1.3.2,0,3.5,9959,appStore
3rd 4th 5th grade learning games tools for kids,47,"[""Education"",""Games"",""Family""]",Education,4+,155998208,5,06/01/2017,1,0,3.5,26,appStore
3rd Grade Math Games for Kids,29,"[""Education"",""Games"",""Puzzle"",""Family""]",Education,4+,363166720,4,31/08/2011,5.5.2,0,4,3844,appStore
4kidz Profes,12,,EDUCATION,12+,25000000,7,19/08/2016,2.2.2,0,4,2,google store
